M [ 0 , <decl-spec> ] = GOTO 1
M [ 224 , IDENTIFIER ] = REDUCE <type-qual-list> -> <type-qual-list> <type-qual> 
M [ 224 , OP_MUL ] = REDUCE <type-qual-list> -> <type-qual-list> <type-qual> 
M [ 224 , const ] = REDUCE <type-qual-list> -> <type-qual-list> <type-qual> 
M [ 225 , DELIM_COMMA ] = REDUCE <struct-declarator> -> <declarator> 
M [ 225 , DELIM_SEMICOLON ] = REDUCE <struct-declarator> -> <declarator> 
M [ 226 , DELIM_COMMA ] = REDUCE <declarator> -> <direct-declarator> 
M [ 226 , DELIM_LPAR ] = SHIFT 515
M [ 226 , DELIM_LSQBRACKET ] = SHIFT 516
M [ 226 , DELIM_SEMICOLON ] = REDUCE <declarator> -> <direct-declarator> 
M [ 227 , <direct-declarator> ] = GOTO 517
M [ 227 , DELIM_LPAR ] = SHIFT 230
M [ 227 , IDENTIFIER ] = SHIFT 232
M [ 228 , DELIM_COMMA ] = SHIFT 518
M [ 228 , DELIM_SEMICOLON ] = SHIFT 519
M [ 229 , DELIM_COMMA ] = REDUCE <struct-declarator-list> -> <struct-declarator> 
M [ 229 , DELIM_SEMICOLON ] = REDUCE <struct-declarator-list> -> <struct-declarator> 
M [ 230 , <declarator> ] = GOTO 520
M [ 230 , <direct-declarator> ] = GOTO 54
M [ 230 , <pointer> ] = GOTO 55
M [ 230 , DELIM_LPAR ] = SHIFT 56
M [ 230 , IDENTIFIER ] = SHIFT 57
M [ 230 , OP_MUL ] = SHIFT 33
M [ 231 , DELIM_RCURBRACE ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , char ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , const ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , double ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , enum ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , float ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , int ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , long ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , short ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , signed ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , struct ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , unsigned ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 231 , void ] = REDUCE <struct-decl> -> <spec-qual-list> DELIM_SEMICOLON 
M [ 232 , DELIM_COMMA ] = REDUCE <direct-declarator> -> IDENTIFIER 
M [ 232 , DELIM_LPAR ] = REDUCE <direct-declarator> -> IDENTIFIER 
M [ 232 , DELIM_LSQBRACKET ] = REDUCE <direct-declarator> -> IDENTIFIER 
M [ 232 , DELIM_SEMICOLON ] = REDUCE <direct-declarator> -> IDENTIFIER 
M [ 233 , DELIM_RCURBRACE ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , char ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , const ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , double ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , enum ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , float ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , int ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , long ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , short ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , signed ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , struct ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , unsigned ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 233 , void ] = REDUCE <struct-decl-list> -> <struct-decl-list> <struct-decl> 
M [ 234 , DELIM_LPAR ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , DELIM_SEMICOLON ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , IDENTIFIER ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , OP_MUL ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , char ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , const ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , double ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , enum ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , float ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , int ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , long ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , short ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , signed ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , struct ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , typedef ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , unsigned ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 234 , void ] = REDUCE <struct-union-spec> -> <struct-union> DELIM_LCURBRACE <struct-decl-list> DELIM_RCURBRACE 
M [ 235 , <enum-spec> ] = GOTO 62
M [ 235 , <spec-qual-list> ] = GOTO 63
M [ 235 , <struct-decl-list> ] = GOTO 521
M [ 235 , <struct-decl> ] = GOTO 65
M [ 235 , <struct-union-spec> ] = GOTO 66
M [ 235 , <struct-union> ] = GOTO 67
M [ 235 , <type-qual> ] = GOTO 68
M [ 235 , <type-spec> ] = GOTO 69
M [ 235 , char ] = SHIFT 70
M [ 235 , const ] = SHIFT 71
M [ 235 , double ] = SHIFT 72
M [ 235 , enum ] = SHIFT 73
M [ 235 , float ] = SHIFT 74
M [ 235 , int ] = SHIFT 75
M [ 235 , long ] = SHIFT 76
M [ 235 , short ] = SHIFT 77
M [ 235 , signed ] = SHIFT 78
M [ 235 , struct ] = SHIFT 21
M [ 235 , unsigned ] = SHIFT 79
M [ 235 , void ] = SHIFT 80
M [ 236 , DELIM_LCURBRACE ] = SHIFT 522
M [ 236 , DELIM_LPAR ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , DELIM_SEMICOLON ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , IDENTIFIER ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , OP_MUL ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , char ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , const ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , double ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , enum ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , float ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , int ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , long ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , short ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , signed ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , struct ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , unsigned ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 236 , void ] = REDUCE <struct-union-spec> -> <struct-union> IDENTIFIER 
M [ 237 , DELIM_LPAR ] = REDUCE <spec-qual-list> -> <type-qual> <spec-qual-list> 
M [ 237 , DELIM_SEMICOLON ] = REDUCE <spec-qual-list> -> <type-qual> <spec-qual-list> 
M [ 237 , IDENTIFIER ] = REDUCE <spec-qual-list> -> <type-qual> <spec-qual-list> 
M [ 237 , OP_MUL ] = REDUCE <spec-qual-list> -> <type-qual> <spec-qual-list> 
M [ 238 , DELIM_LPAR ] = REDUCE <spec-qual-list> -> <type-spec> <spec-qual-list> 
M [ 238 , DELIM_SEMICOLON ] = REDUCE <spec-qual-list> -> <type-spec> <spec-qual-list> 
M [ 238 , IDENTIFIER ] = REDUCE <spec-qual-list> -> <type-spec> <spec-qual-list> 
M [ 238 , OP_MUL ] = REDUCE <spec-qual-list> -> <type-spec> <spec-qual-list> 
M [ 239 , <enumeration-const> ] = GOTO 82
M [ 239 , <enumerator-list> ] = GOTO 523
M [ 239 , <enumerator> ] = GOTO 84
M [ 239 , IDENTIFIER ] = SHIFT 85
M [ 240 , DELIM_LCURBRACE ] = SHIFT 524
M [ 240 , DELIM_LPAR ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , DELIM_SEMICOLON ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , IDENTIFIER ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , OP_MUL ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , char ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , const ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , double ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , enum ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , float ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , int ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , long ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , short ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , signed ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , struct ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , unsigned ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 240 , void ] = REDUCE <enum-spec> -> enum IDENTIFIER 
M [ 241 , <enum-spec> ] = GOTO 62
M [ 241 , <spec-qual-list> ] = GOTO 63
M [ 241 , <struct-decl> ] = GOTO 233
M [ 241 , <struct-union-spec> ] = GOTO 66
M [ 241 , <struct-union> ] = GOTO 67
M [ 241 , <type-qual> ] = GOTO 68
M [ 241 , <type-spec> ] = GOTO 69
M [ 241 , DELIM_RCURBRACE ] = SHIFT 525
M [ 241 , char ] = SHIFT 70
M [ 241 , const ] = SHIFT 71
M [ 241 , double ] = SHIFT 72
M [ 241 , enum ] = SHIFT 73
M [ 241 , float ] = SHIFT 74
M [ 241 , int ] = SHIFT 75
M [ 241 , long ] = SHIFT 76
M [ 241 , short ] = SHIFT 77
M [ 241 , signed ] = SHIFT 78
M [ 241 , struct ] = SHIFT 21
M [ 241 , unsigned ] = SHIFT 79
M [ 241 , void ] = SHIFT 80
M [ 242 , <additive-expr> ] = GOTO 412
M [ 242 , <and-expr> ] = GOTO 413
M [ 242 , <cast-expr> ] = GOTO 415
M [ 242 , <cond-expr> ] = GOTO 526
M [ 242 , <const-expr> ] = GOTO 527
M [ 242 , <constant> ] = GOTO 528
M [ 242 , <eq-expr> ] = GOTO 421
M [ 242 , <exc-or-expr> ] = GOTO 422
M [ 242 , <inc-or-expr> ] = GOTO 423
M [ 242 , <land-expr> ] = GOTO 426
M [ 242 , <lor-expr> ] = GOTO 427
M [ 242 , <multiplicative-expr> ] = GOTO 428
M [ 242 , <num-const> ] = GOTO 529
M [ 242 , <postfix-expr> ] = GOTO 530
M [ 242 , <prim-expr> ] = GOTO 531
M [ 242 , <rel-expr> ] = GOTO 432
M [ 242 , <shift-expr> ] = GOTO 433
M [ 242 , <unary-expr> ] = GOTO 532
M [ 242 , <unary-op> ] = GOTO 533
M [ 242 , CHAR_CONST ] = SHIFT 534
M [ 242 , DELIM_LPAR ] = SHIFT 535
M [ 242 , FLOAT_CONST ] = SHIFT 536
M [ 242 , IDENTIFIER ] = SHIFT 537
M [ 242 , INT_CONST ] = SHIFT 538
M [ 242 , OP_ADD ] = SHIFT 135
M [ 242 , OP_AND ] = SHIFT 136
M [ 242 , OP_DEC ] = SHIFT 539
M [ 242 , OP_INC ] = SHIFT 540
M [ 242 , OP_LNOT ] = SHIFT 139
M [ 242 , OP_MUL ] = SHIFT 140
M [ 242 , OP_NOT ] = SHIFT 141
M [ 242 , OP_SUB ] = SHIFT 142
M [ 242 , STR_LITERAL ] = SHIFT 541
M [ 242 , sizeof ] = SHIFT 542
M [ 243 , <enumeration-const> ] = GOTO 82
M [ 243 , <enumerator> ] = GOTO 543
M [ 243 , DELIM_RCURBRACE ] = SHIFT 544
M [ 243 , IDENTIFIER ] = SHIFT 85
M [ 244 , DELIM_LPAR ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , DELIM_SEMICOLON ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , IDENTIFIER ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , OP_MUL ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , char ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , const ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , double ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , enum ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , float ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , int ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , long ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , short ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , signed ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , struct ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , typedef ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , unsigned ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 244 , void ] = REDUCE <enum-spec> -> enum DELIM_LCURBRACE <enumerator-list> DELIM_RCURBRACE 
M [ 245 , DELIM_COMMA ] = SHIFT 545
M [ 245 , DELIM_RCURBRACE ] = SHIFT 546
M [ 246 , <decl-spec> ] = GOTO 160
M [ 246 , <enum-spec> ] = GOTO 161
M [ 246 , <identifier-list> ] = GOTO 547
M [ 246 , <param-decl> ] = GOTO 163
M [ 246 , <param-list> ] = GOTO 164
M [ 246 , <param-type-list> ] = GOTO 548
M [ 246 , <storage-class-spec> ] = GOTO 166
M [ 246 , <struct-union-spec> ] = GOTO 167
M [ 246 , <struct-union> ] = GOTO 168
M [ 246 , <type-qual> ] = GOTO 169
M [ 246 , <type-spec> ] = GOTO 170
M [ 246 , DELIM_RPAR ] = SHIFT 549
M [ 246 , IDENTIFIER ] = SHIFT 172
M [ 246 , char ] = SHIFT 173
M [ 246 , const ] = SHIFT 174
M [ 246 , double ] = SHIFT 175
M [ 246 , enum ] = SHIFT 176
M [ 246 , float ] = SHIFT 177
M [ 246 , int ] = SHIFT 178
M [ 246 , long ] = SHIFT 179
M [ 246 , short ] = SHIFT 180
M [ 246 , signed ] = SHIFT 181
M [ 246 , struct ] = SHIFT 21
M [ 246 , typedef ] = SHIFT 182
M [ 246 , unsigned ] = SHIFT 183
M [ 246 , void ] = SHIFT 184
M [ 247 , <additive-expr> ] = GOTO 185
M [ 247 , <and-expr> ] = GOTO 186
M [ 247 , <asn-expr> ] = GOTO 550
M [ 247 , <cast-expr> ] = GOTO 188
M [ 247 , <cond-expr> ] = GOTO 189
M [ 247 , <constant> ] = GOTO 190
M [ 247 , <eq-expr> ] = GOTO 191
M [ 247 , <exc-or-expr> ] = GOTO 192
M [ 247 , <inc-or-expr> ] = GOTO 193
M [ 247 , <land-expr> ] = GOTO 194
M [ 247 , <lor-expr> ] = GOTO 195
M [ 247 , <multiplicative-expr> ] = GOTO 196
M [ 247 , <num-const> ] = GOTO 197
M [ 247 , <postfix-expr> ] = GOTO 198
M [ 247 , <prim-expr> ] = GOTO 199
M [ 247 , <rel-expr> ] = GOTO 200
M [ 247 , <shift-expr> ] = GOTO 201
M [ 247 , <type-qual-list> ] = GOTO 551
M [ 247 , <type-qual> ] = GOTO 203
M [ 247 , <unary-expr> ] = GOTO 204
M [ 247 , <unary-op> ] = GOTO 205
M [ 247 , CHAR_CONST ] = SHIFT 206
M [ 247 , DELIM_LPAR ] = SHIFT 207
M [ 247 , DELIM_RSQBRACKET ] = SHIFT 552
M [ 247 , FLOAT_CONST ] = SHIFT 209
M [ 247 , IDENTIFIER ] = SHIFT 210
M [ 247 , INT_CONST ] = SHIFT 211
M [ 247 , OP_ADD ] = SHIFT 135
M [ 247 , OP_AND ] = SHIFT 136
M [ 247 , OP_DEC ] = SHIFT 212
M [ 247 , OP_INC ] = SHIFT 213
M [ 247 , OP_LNOT ] = SHIFT 139
M [ 247 , OP_MUL ] = SHIFT 140
M [ 247 , OP_NOT ] = SHIFT 141
M [ 247 , OP_SUB ] = SHIFT 142
M [ 247 , STR_LITERAL ] = SHIFT 214
M [ 247 , const ] = SHIFT 215
M [ 247 , sizeof ] = SHIFT 216
M [ 248 , DELIM_LCURBRACE ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , char ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , const ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , double ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , enum ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , float ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , int ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , long ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , short ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , signed ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , struct ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , typedef ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , unsigned ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 248 , void ] = REDUCE <decl> -> <decl-spec> <init-declarator-list> DELIM_SEMICOLON 
M [ 249 , DELIM_COMMA ] = REDUCE <declarator> -> <pointer> <direct-declarator> 
M [ 249 , DELIM_LPAR ] = SHIFT 246
M [ 249 , DELIM_LSQBRACKET ] = SHIFT 247
M [ 249 , DELIM_SEMICOLON ] = REDUCE <declarator> -> <pointer> <direct-declarator> 
M [ 249 , OP_ASN ] = REDUCE <declarator> -> <pointer> <direct-declarator> 
M [ 250 , DELIM_RPAR ] = SHIFT 553
M [ 251 , <cast-expr> ] = GOTO 101
M [ 251 , <constant> ] = GOTO 554
M [ 251 , <multiplicative-expr> ] = GOTO 555
M [ 251 , <num-const> ] = GOTO 556
M [ 251 , <postfix-expr> ] = GOTO 557
M [ 251 , <prim-expr> ] = GOTO 558
M [ 251 , <unary-expr> ] = GOTO 559
M [ 251 , <unary-op> ] = GOTO 560
M [ 251 , CHAR_CONST ] = SHIFT 561
M [ 251 , DELIM_LPAR ] = SHIFT 562
M [ 251 , FLOAT_CONST ] = SHIFT 563
M [ 251 , IDENTIFIER ] = SHIFT 564
M [ 251 , INT_CONST ] = SHIFT 565
M [ 251 , OP_ADD ] = SHIFT 135
M [ 251 , OP_AND ] = SHIFT 136
M [ 251 , OP_DEC ] = SHIFT 566
M [ 251 , OP_INC ] = SHIFT 567
M [ 251 , OP_LNOT ] = SHIFT 139
M [ 251 , OP_MUL ] = SHIFT 140
M [ 251 , OP_NOT ] = SHIFT 141
M [ 251 , OP_SUB ] = SHIFT 142
M [ 251 , STR_LITERAL ] = SHIFT 568
M [ 251 , sizeof ] = SHIFT 569
M [ 252 , <cast-expr> ] = GOTO 101
M [ 252 , <constant> ] = GOTO 554
M [ 252 , <multiplicative-expr> ] = GOTO 570
M [ 252 , <num-const> ] = GOTO 556
M [ 252 , <postfix-expr> ] = GOTO 557
M [ 252 , <prim-expr> ] = GOTO 558
M [ 252 , <unary-expr> ] = GOTO 559
M [ 252 , <unary-op> ] = GOTO 560
M [ 252 , CHAR_CONST ] = SHIFT 561
M [ 252 , DELIM_LPAR ] = SHIFT 562
M [ 252 , FLOAT_CONST ] = SHIFT 563
M [ 252 , IDENTIFIER ] = SHIFT 564
M [ 252 , INT_CONST ] = SHIFT 565
M [ 252 , OP_ADD ] = SHIFT 135
M [ 252 , OP_AND ] = SHIFT 136
M [ 252 , OP_DEC ] = SHIFT 566
M [ 252 , OP_INC ] = SHIFT 567
M [ 252 , OP_LNOT ] = SHIFT 139
M [ 252 , OP_MUL ] = SHIFT 140
M [ 252 , OP_NOT ] = SHIFT 141
M [ 252 , OP_SUB ] = SHIFT 142
M [ 252 , STR_LITERAL ] = SHIFT 568
M [ 252 , sizeof ] = SHIFT 569
M [ 253 , <additive-expr> ] = GOTO 96
M [ 253 , <cast-expr> ] = GOTO 101
M [ 253 , <constant> ] = GOTO 554
M [ 253 , <eq-expr> ] = GOTO 571
M [ 253 , <multiplicative-expr> ] = GOTO 117
M [ 253 , <num-const> ] = GOTO 556
M [ 253 , <postfix-expr> ] = GOTO 557
M [ 253 , <prim-expr> ] = GOTO 558
M [ 253 , <rel-expr> ] = GOTO 121
M [ 253 , <shift-expr> ] = GOTO 123
M [ 253 , <unary-expr> ] = GOTO 559
M [ 253 , <unary-op> ] = GOTO 560
M [ 253 , CHAR_CONST ] = SHIFT 561
M [ 253 , DELIM_LPAR ] = SHIFT 562
M [ 253 , FLOAT_CONST ] = SHIFT 563
M [ 253 , IDENTIFIER ] = SHIFT 564
M [ 253 , INT_CONST ] = SHIFT 565
M [ 253 , OP_ADD ] = SHIFT 135
M [ 253 , OP_AND ] = SHIFT 136
M [ 253 , OP_DEC ] = SHIFT 566
M [ 253 , OP_INC ] = SHIFT 567
M [ 253 , OP_LNOT ] = SHIFT 139
M [ 253 , OP_MUL ] = SHIFT 140
M [ 253 , OP_NOT ] = SHIFT 141
M [ 253 , OP_SUB ] = SHIFT 142
M [ 253 , STR_LITERAL ] = SHIFT 568
M [ 253 , sizeof ] = SHIFT 569
M [ 254 , CHAR_CONST ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , DELIM_LCURBRACE ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , DELIM_LPAR ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , DELIM_RCURBRACE ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , DELIM_SEMICOLON ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , FLOAT_CONST ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , IDENTIFIER ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , INT_CONST ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , OP_ADD ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , OP_AND ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , OP_DEC ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , OP_INC ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , OP_LNOT ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , OP_MUL ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , OP_NOT ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , OP_SUB ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , STR_LITERAL ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , break ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , case ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , char ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , const ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , continue ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , default ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , do ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , double ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , enum ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , float ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , for ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , goto ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , if ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , int ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , long ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
M [ 254 , return ] = REDUCE <blk-item-list> -> <blk-item-list> <blk-item> 
